timestamp_epoch,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776099419.546288,1,00,00000000,00000000,0 00000000 1
1776099419.546620,2,18,00011000,00011000,0 00011000 1
1776099419.547781,3,E0,11100000,00000111,0 00000111 1
1776099419.548008,4,18,00011000,00011000,0 00011000 1
1776099419.548103,5,E0,11100000,00000111,0 00000111 1
1776099419.548165,6,98,10011000,00011001,0 00011001 1
1776099419.548218,7,E0,11100000,00000111,0 00000111 1
1776099419.548255,8,98,10011000,00011001,0 00011001 1
1776099419.548303,9,E0,11100000,00000111,0 00000111 1
1776099419.548366,10,18,00011000,00011000,0 00011000 1
1776099419.548412,11,E0,11100000,00000111,0 00000111 1
1776099419.548452,12,18,00011000,00011000,0 00011000 1
1776099419.548491,13,E0,11100000,00000111,0 00000111 1
1776099419.548526,14,18,00011000,00011000,0 00011000 1
1776099419.548558,15,E0,11100000,00000111,0 00000111 1
1776099419.548597,16,98,10011000,00011001,0 00011001 1
1776099419.553938,17,1E,00011110,01111000,0 01111000 1
1776099419.554093,18,18,00011000,00011000,0 00011000 1
1776099419.554152,19,06,00000110,01100000,0 01100000 1
1776099419.554197,20,FE,11111110,01111111,0 01111111 1
1776099429.572923,21,00,00000000,00000000,0 00000000 1
1776099429.573036,22,18,00011000,00011000,0 00011000 1
1776099429.573070,23,E0,11100000,00000111,0 00000111 1
1776099429.573099,24,18,00011000,00011000,0 00011000 1
1776099429.573127,25,E0,11100000,00000111,0 00000111 1
1776099429.573155,26,98,10011000,00011001,0 00011001 1
1776099429.573184,27,E0,11100000,00000111,0 00000111 1
1776099429.573212,28,98,10011000,00011001,0 00011001 1
1776099429.573239,29,E0,11100000,00000111,0 00000111 1
1776099429.573267,30,18,00011000,00011000,0 00011000 1
1776099429.573294,31,E0,11100000,00000111,0 00000111 1
1776099429.573322,32,18,00011000,00011000,0 00011000 1
1776099429.573349,33,E0,11100000,00000111,0 00000111 1
1776099429.573376,34,18,00011000,00011000,0 00011000 1
1776099429.573403,35,E0,11100000,00000111,0 00000111 1
1776099429.573431,36,98,10011000,00011001,0 00011001 1
1776099429.580587,37,1E,00011110,01111000,0 01111000 1
1776099429.580806,38,18,00011000,00011000,0 00011000 1
1776099429.580924,39,06,00000110,01100000,0 01100000 1
1776099429.581013,40,FE,11111110,01111111,0 01111111 1
1776099439.599730,41,00,00000000,00000000,0 00000000 1
1776099439.599935,42,18,00011000,00011000,0 00011000 1
1776099439.600147,43,E0,11100000,00000111,0 00000111 1
1776099439.600263,44,18,00011000,00011000,0 00011000 1
1776099439.600342,45,E0,11100000,00000111,0 00000111 1
1776099439.600394,46,98,10011000,00011001,0 00011001 1
1776099439.600436,47,E0,11100000,00000111,0 00000111 1
1776099439.600478,48,98,10011000,00011001,0 00011001 1
1776099439.600523,49,E0,11100000,00000111,0 00000111 1
1776099439.600565,50,18,00011000,00011000,0 00011000 1
1776099439.600607,51,E0,11100000,00000111,0 00000111 1
1776099439.600654,52,18,00011000,00011000,0 00011000 1
1776099439.600710,53,E0,11100000,00000111,0 00000111 1
1776099439.600807,54,18,00011000,00011000,0 00011000 1
1776099439.600909,55,E0,11100000,00000111,0 00000111 1
1776099439.601008,56,98,10011000,00011001,0 00011001 1
1776099439.607373,57,1E,00011110,01111000,0 01111000 1
1776099439.607495,58,18,00011000,00011000,0 00011000 1
1776099439.607559,59,06,00000110,01100000,0 01100000 1
1776099439.607609,60,FE,11111110,01111111,0 01111111 1
1776099449.625181,61,00,00000000,00000000,0 00000000 1
1776099449.625375,62,18,00011000,00011000,0 00011000 1
1776099449.625480,63,E0,11100000,00000111,0 00000111 1
