timestamp_epoch,timestamp_data_hora,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776103961.374185,13/04/2026 15:12:41,1,00,00000000,00000000,0 00000000 1
1776103961.374389,13/04/2026 15:12:41,2,18,00011000,00011000,0 00011000 1
1776103961.374459,13/04/2026 15:12:41,3,E0,11100000,00000111,0 00000111 1
1776103961.374514,13/04/2026 15:12:41,4,18,00011000,00011000,0 00011000 1
1776103961.374562,13/04/2026 15:12:41,5,E0,11100000,00000111,0 00000111 1
1776103961.374604,13/04/2026 15:12:41,6,98,10011000,00011001,0 00011001 1
1776103961.374646,13/04/2026 15:12:41,7,E0,11100000,00000111,0 00000111 1
1776103961.374687,13/04/2026 15:12:41,8,98,10011000,00011001,0 00011001 1
1776103961.374728,13/04/2026 15:12:41,9,E0,11100000,00000111,0 00000111 1
1776103961.374770,13/04/2026 15:12:41,10,18,00011000,00011000,0 00011000 1
1776103961.374813,13/04/2026 15:12:41,11,E0,11100000,00000111,0 00000111 1
1776103961.374852,13/04/2026 15:12:41,12,18,00011000,00011000,0 00011000 1
1776103961.374892,13/04/2026 15:12:41,13,E0,11100000,00000111,0 00000111 1
1776103961.374930,13/04/2026 15:12:41,14,18,00011000,00011000,0 00011000 1
1776103961.374983,13/04/2026 15:12:41,15,E0,11100000,00000111,0 00000111 1
1776103961.375023,13/04/2026 15:12:41,16,98,10011000,00011001,0 00011001 1
1776103961.381835,13/04/2026 15:12:41,17,1E,00011110,01111000,0 01111000 1
1776103961.382011,13/04/2026 15:12:41,18,18,00011000,00011000,0 00011000 1
1776103961.382075,13/04/2026 15:12:41,19,06,00000110,01100000,0 01100000 1
1776103961.382153,13/04/2026 15:12:41,20,FE,11111110,01111111,0 01111111 1
1776103971.394604,13/04/2026 15:12:51,21,00,00000000,00000000,0 00000000 1
1776103971.394770,13/04/2026 15:12:51,22,18,00011000,00011000,0 00011000 1
1776103971.394826,13/04/2026 15:12:51,23,E0,11100000,00000111,0 00000111 1
1776103971.394871,13/04/2026 15:12:51,24,18,00011000,00011000,0 00011000 1
1776103971.394917,13/04/2026 15:12:51,25,E0,11100000,00000111,0 00000111 1
1776103971.394958,13/04/2026 15:12:51,26,98,10011000,00011001,0 00011001 1
1776103971.395006,13/04/2026 15:12:51,27,E0,11100000,00000111,0 00000111 1
1776103971.395053,13/04/2026 15:12:51,28,98,10011000,00011001,0 00011001 1
1776103971.395095,13/04/2026 15:12:51,29,E0,11100000,00000111,0 00000111 1
1776103971.395135,13/04/2026 15:12:51,30,18,00011000,00011000,0 00011000 1
1776103971.395175,13/04/2026 15:12:51,31,E0,11100000,00000111,0 00000111 1
1776103971.395215,13/04/2026 15:12:51,32,18,00011000,00011000,0 00011000 1
1776103971.395253,13/04/2026 15:12:51,33,E0,11100000,00000111,0 00000111 1
1776103971.395291,13/04/2026 15:12:51,34,18,00011000,00011000,0 00011000 1
1776103971.395331,13/04/2026 15:12:51,35,E0,11100000,00000111,0 00000111 1
1776103971.395370,13/04/2026 15:12:51,36,98,10011000,00011001,0 00011001 1
1776103971.402242,13/04/2026 15:12:51,37,1E,00011110,01111000,0 01111000 1
1776103971.402358,13/04/2026 15:12:51,38,18,00011000,00011000,0 00011000 1
1776103971.402412,13/04/2026 15:12:51,39,06,00000110,01100000,0 01100000 1
1776103971.402462,13/04/2026 15:12:51,40,FE,11111110,01111111,0 01111111 1
1776103981.415040,13/04/2026 15:13:01,41,00,00000000,00000000,0 00000000 1
1776103981.415197,13/04/2026 15:13:01,42,18,00011000,00011000,0 00011000 1
1776103981.415251,13/04/2026 15:13:01,43,E0,11100000,00000111,0 00000111 1
1776103981.415293,13/04/2026 15:13:01,44,18,00011000,00011000,0 00011000 1
1776103981.415332,13/04/2026 15:13:01,45,E0,11100000,00000111,0 00000111 1
1776103981.415371,13/04/2026 15:13:01,46,98,10011000,00011001,0 00011001 1
1776103981.415411,13/04/2026 15:13:01,47,E0,11100000,00000111,0 00000111 1
1776103981.415450,13/04/2026 15:13:01,48,98,10011000,00011001,0 00011001 1
1776103981.415489,13/04/2026 15:13:01,49,E0,11100000,00000111,0 00000111 1
1776103981.415527,13/04/2026 15:13:01,50,18,00011000,00011000,0 00011000 1
1776103981.415565,13/04/2026 15:13:01,51,E0,11100000,00000111,0 00000111 1
1776103981.415606,13/04/2026 15:13:01,52,18,00011000,00011000,0 00011000 1
1776103981.415645,13/04/2026 15:13:01,53,E0,11100000,00000111,0 00000111 1
1776103981.415689,13/04/2026 15:13:01,54,18,00011000,00011000,0 00011000 1
1776103981.415729,13/04/2026 15:13:01,55,E0,11100000,00000111,0 00000111 1
1776103981.415768,13/04/2026 15:13:01,56,98,10011000,00011001,0 00011001 1
1776103981.422673,13/04/2026 15:13:01,57,1E,00011110,01111000,0 01111000 1
1776103981.422785,13/04/2026 15:13:01,58,18,00011000,00011000,0 00011000 1
1776103981.422843,13/04/2026 15:13:01,59,06,00000110,01100000,0 01100000 1
1776103981.422894,13/04/2026 15:13:01,60,FE,11111110,01111111,0 01111111 1
1776103991.435478,13/04/2026 15:13:11,61,00,00000000,00000000,0 00000000 1
1776103991.435639,13/04/2026 15:13:11,62,18,00011000,00011000,0 00011000 1
1776103991.435696,13/04/2026 15:13:11,63,E0,11100000,00000111,0 00000111 1
1776103991.435742,13/04/2026 15:13:11,64,18,00011000,00011000,0 00011000 1
1776103991.435785,13/04/2026 15:13:11,65,E0,11100000,00000111,0 00000111 1
1776103991.435859,13/04/2026 15:13:11,66,98,10011000,00011001,0 00011001 1
1776103991.435902,13/04/2026 15:13:11,67,E0,11100000,00000111,0 00000111 1
1776103991.435940,13/04/2026 15:13:11,68,98,10011000,00011001,0 00011001 1
1776103991.435978,13/04/2026 15:13:11,69,E0,11100000,00000111,0 00000111 1
1776103991.436017,13/04/2026 15:13:11,70,18,00011000,00011000,0 00011000 1
1776103991.436056,13/04/2026 15:13:11,71,E0,11100000,00000111,0 00000111 1
1776103991.436097,13/04/2026 15:13:11,72,18,00011000,00011000,0 00011000 1
1776103991.436136,13/04/2026 15:13:11,73,E0,11100000,00000111,0 00000111 1
1776103991.436173,13/04/2026 15:13:11,74,18,00011000,00011000,0 00011000 1
1776103991.436213,13/04/2026 15:13:11,75,E0,11100000,00000111,0 00000111 1
1776103991.436254,13/04/2026 15:13:11,76,98,10011000,00011001,0 00011001 1
1776103991.443135,13/04/2026 15:13:11,77,1E,00011110,01111000,0 01111000 1
1776103991.443272,13/04/2026 15:13:11,78,18,00011000,00011000,0 00011000 1
1776103991.443331,13/04/2026 15:13:11,79,06,00000110,01100000,0 01100000 1
1776103991.443382,13/04/2026 15:13:11,80,FE,11111110,01111111,0 01111111 1
1776104001.455921,13/04/2026 15:13:21,81,00,00000000,00000000,0 00000000 1
1776104001.456094,13/04/2026 15:13:21,82,18,00011000,00011000,0 00011000 1
1776104001.456167,13/04/2026 15:13:21,83,E0,11100000,00000111,0 00000111 1
1776104001.456229,13/04/2026 15:13:21,84,18,00011000,00011000,0 00011000 1
